Date,Open,High,Low,Close,Adj Close,Volume
2018-08-23,138.661575,139.120453,138.384323,138.977051,106.553864,2322538
2018-08-24,139.063095,139.665390,138.499039,139.617584,107.044960,2904324
2018-08-27,140.478012,141.128113,140.076477,140.238998,107.521400,3652214
2018-08-28,140.487579,140.525818,139.761002,140.143402,107.448097,2568244
2018-08-29,140.411087,141.424469,140.152969,141.051620,108.144424,3298875
2018-08-30,140.564056,140.822174,138.862335,139.512421,106.964333,3494058
2018-08-31,139.311661,140.325043,139.139572,140.038239,107.367455,3648971
2018-09-04,139.560226,139.761002,138.441681,139.273422,106.781113,3479205
2018-09-05,138.804977,140.296371,138.671127,140.210327,107.499405,3270319
2018-09-06,140.420654,141.166351,139.139572,139.952194,107.301514,4444245
2018-09-07,139.521988,140.057358,138.738052,139.053543,106.612518,4908983
2018-09-10,140.152969,140.822174,139.158707,139.244736,106.759094,3784742
2018-09-11,139.579346,140.525818,138.862335,140.047806,107.374809,3529936
2018-09-12,139.933075,141.472275,139.608032,140.124283,107.433456,4714008
2018-09-13,140.869980,142.447418,140.650101,142.399612,109.177948,5592439
2018-09-14,142.304016,142.734222,141.281067,141.806885,108.723488,3610897
2018-09-17,141.912048,142.514343,141.271515,141.434036,108.437622,3715287
2018-09-18,141.261948,142.437866,140.984711,142.026764,108.892067,3796352
2018-09-19,142.093689,143.365204,141.711288,142.504776,109.258568,4441525
2018-09-20,143.001907,144.722748,142.868073,144.502869,110.790512,6226001
2018-09-21,144.818359,145.889099,144.110901,144.694077,110.937096,20865085
2018-09-24,144.455063,144.550674,142.887192,143.432129,109.969589,4461190
2018-09-25,143.317398,143.795410,141.835571,142.361374,109.148621,4599785
2018-09-26,145.697891,146.606125,144.684509,144.942642,111.127686,7742387
2018-09-27,145.325043,145.688339,144.512421,144.837479,111.047066,3637570
2018-09-28,144.512421,144.961761,144.158707,144.560226,110.834496,3457867
2018-10-01,145.038239,146.673035,145.038239,146.271515,112.146568,3930240
2018-10-02,146.261948,147.074570,145.793503,146.988525,112.696259,3169275
2018-10-03,147.227539,147.571701,146.080307,146.481842,112.307785,3467804
2018-10-04,145.019119,146.080307,143.747604,144.655838,110.907776,4432843
2018-10-05,144.263855,145.114716,141.367111,142.476105,109.236588,4813901
2018-10-08,141.969406,142.514343,140.707458,141.864243,108.767509,3388308
2018-10-09,141.567871,141.835571,140.468445,140.764816,107.924545,3809950
2018-10-10,141.013382,141.195023,136.233276,136.414917,104.589470,5802894
2018-10-11,136.347992,137.848953,132.676865,132.906311,101.899422,9111183
